No.,case,Wind_direction,x(m),y(m),z(m),Velocity_Ratio
56,bc,SSE,38,5.5,2,0.36
57,bc,SSE,74,22,2,0.44
58,bc,SSE,63,0.5,2,0.38
59,bc,SSE,50.5,-22.5,2,0.18
60,bc,SSE,88.5,-6,2,0.2
61,bc,SSE,31,0,2,0.18
62,bc,SSE,39.5,-20,2,0.18
63,bc,SSE,92.5,20,2,0.44
64,bc,SSE,100.5,3.5,2,0.48
65,bc,SSE,-83,-94,2,0.16
66,bc,SSE,-49.5,-78.5,2,0.12
67,bc,SSE,-10,-59.5,2,0.44
68,bc,SSE,1,-54,2,0.46
69,bc,SSE,26,-43,2,0.22
70,bc,SSE,46.5,-33.5,2,0.28
71,bc,SSE,66.5,-24.5,2,0.18
72,bc,SSE,82,-17.5,2,0.16
73,bc,SSE,98.5,-9.5,2,0.54
74,bc,SSE,56.5,-54.5,2,0.14
75,bc,SSE,109,-17.5,2,0.59
76,bc,SSE,116,-30.5,2,0.65
77,bc,SSE,5,-94,2,0.52
78,bc,SSE,45.5,-86.5,2,0.22
79,bc,SSE,81.5,-69.5,2,0.18
80,bc,SSE,125,-49.5,2,0.63
1,bc,S,-27,112,2,0.16
2,bc,S,-93,33,2,0.28
3,bc,S,-88,35,2,0.32
4,bc,S,-74,40,2,0.28
5,bc,S,-61,45.5,2,0.44
6,bc,S,-50.5,49.5,2,0.5
7,bc,S,-33.5,57.5,2,0.54
8,bc,S,-9.5,69,2,0.24
9,bc,S,7,76.5,2,0.24
10,bc,S,45,94,2,0.2
11,bc,S,80.5,110,2,0.48
